"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Htt",7688.32198818287,-0.252557626325627,0.0389445540712943,44.6918238327139,1.97375735617164e-10,2.95172229135863e-08
"Usp9x",9131.20938425678,-0.342250198096179,0.0520390920822545,44.6281899241592,2.03756601959033e-10,3.01473065962365e-08
"Pcdh10",8736.86326299966,-0.273207162831085,0.0409117664377937,44.5995400176951,2.06696411800433e-10,3.02603546875834e-08
"Sumo1",2704.35072001491,0.30878430599453,0.0483714161326955,44.4147785109338,2.26700975480443e-10,3.28433038227292e-08
"Tenm1",1197.66624172961,-0.569304035442218,0.0867429086982743,44.3651423527124,2.32397656163598e-10,3.33215113600342e-08
"Tbc1d5",1622.98621940479,-0.215302551957505,0.0361105745283136,44.3225035444606,2.37405427387526e-10,3.369219065414e-08
"Kmt2c",3695.35031403683,-0.320831403917194,0.0486076706998505,44.0018372007533,2.78690686298163e-10,3.91518188387359e-08
"Kif1b",34804.9115655446,-0.228086792623923,0.0348836097681705,43.5060152438843,3.57099157025735e-10,4.96653507591393e-08
"Huwe1",14868.572990926,-0.25381549875802,0.0389307826589135,43.3907192245945,3.78290153732826e-10,5.20916778031302e-08
"Fam171b",8787.51467732648,-0.194858636498817,0.030567316559667,43.1199293780617,4.33138018613641e-10,5.90596427733188e-08
"Arhgap21",6411.17866618503,-0.220463024186632,0.0338324387044318,42.8848086497237,4.87171779597074e-10,6.57823797149137e-08
"Slc24a2",27521.4651771931,-0.271656470852615,0.0440533103341242,42.7710131807001,5.15694494685169e-10,6.89642214623204e-08
"Dst",20712.3059252853,-0.279401070211676,0.0436258546417599,42.6279786834023,5.53926371357187e-10,7.33715045031976e-08
"Cacna1b",5552.28144378344,-0.277345149128914,0.0425540852222642,42.5127767385024,5.86769898171834e-10,7.69886390922063e-08
"Zdhhc22",613.125769223567,-0.415649578875305,0.0644274373035026,42.1725536915561,6.95578775947303e-10,9.04122394007017e-08
"Clasp1",4907.58480305411,-0.2533852419901,0.0398429335722097,42.1043906164114,7.19693774052724e-10,9.25115293846595e-08
"Gas7",24419.5839040623,-0.15659167653026,0.0245527704766261,42.089608338195,7.25032837426509e-10,9.25115293846595e-08
"Phf24",10128.9615312102,-0.202731036057971,0.0326401582367949,42.0618631856208,7.35161000201214e-10,9.29510835527135e-08
