"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Rictor",2765.52707294092,-0.23134129058416,0.0393891801712734,-5.87321923376505,4.27412628580779e-09,3.48212553549786e-07
"Cntnap2",3516.32543518383,-0.263516129518208,0.0448874782486695,-5.87059331019601,4.34238295454903e-09,3.51655012439048e-07
"Slc16a7",878.356413728002,-0.387677182301128,0.0662064302140181,-5.85558201896594,4.75342356386702e-09,3.82650596891295e-07
"Igsf9b",928.173144317334,-0.59229960278573,0.101194318340499,-5.85309148279214,4.82518532113027e-09,3.86129031260153e-07
"Sdk2",1044.16403997183,-0.513230215290271,0.0878056105230601,-5.84507313636277,5.06345752680583e-09,4.02812938779541e-07
"Tecpr2",3730.67963088603,-0.225616804415397,0.0386272733489098,-5.84086798924326,5.19295426365546e-09,4.10698909132611e-07
"Plekhm3",1853.74940641511,-0.23636562647268,0.0405074226849212,-5.83511886972426,5.37522317265516e-09,4.2264254759877e-07
"Adra1a",557.056347026044,-0.356260079979947,0.0612128208493896,-5.82002389428357,5.88392152967408e-09,4.59966212527817e-07
"Cep350",2169.92898208448,-0.267798642046856,0.0460755168203772,-5.81216794791156,6.16689234321958e-09,4.79316391090239e-07
"Elof1",1084.23874343899,0.249832642790151,0.0430926946523925,5.79756371249066,6.72852217050039e-09,5.1998019333627e-07
"Nav2",2720.96260033269,-0.239130835061923,0.0412866265395971,-5.79196837098273,6.95662456392372e-09,5.34553355696048e-07
"Ubr1",2661.25564205406,-0.247266631568046,0.0427303057630464,-5.78668060414126,7.17908947018602e-09,5.4853110731523e-07
"Igip",2572.00972903558,0.261623261023612,0.0452759923667141,5.7784103085933,7.54097255711669e-09,5.72599335133017e-07
"Hectd1",6633.8966871432,-0.197544062545648,0.0341915546926845,-5.77756888568491,7.57876966790965e-09,5.72599335133017e-07
"Rpl7",5490.65354239335,0.230745881608979,0.0399788039922019,5.77170546807722,7.84731942192901e-09,5.89595265900933e-07
"Myo5a",24914.146495219,-0.204322393447227,0.0356136353252911,-5.73719564377429,9.62570432241413e-09,7.16272609253485e-07
"Rsl1d1",1780.25562705643,0.219996314130499,0.0383472142685413,5.73695686445147,9.63927942059556e-09,7.16272609253485e-07
"Ralgapb",6971.10381066479,-0.171949468065403,0.0300220562291302,-5.72743807929324,1.01958633955651e-08,7.53491019462416e-07
"Kcnb2",680.615843932873,-0.392434979764864,0.0686449092526555,-5.71688394721977,1.08495159347852e-08,7.97439421206713e-07
"Stx1b",8435.81730872586,-0.231048946377967,0.0404278030187734,-5.71510023116208,1.09639380942993e-08,8.01493506958396e-07
"Creg2",5756.33445283529,-0.24674912152661,0.0431877707539002,-5.71340259567174,1.1073927062556e-08,8.05181664483908e-07
"Ptp4a1",706.311950993252,0.371276747702361,0.064998504083674,5.71208142304949,1.11602664456302e-08,8.0712001823905e-07
"Gprin3",223.698682353918,-0.578261537733875,0.101315970564142,-5.70750627481561,1.14643395801294e-08,8.23705283010357e-07
"Dock7",1614.67688272699,-0.233753727034912,0.040960498731906,-5.70680861492613,1.15114092346168e-08,8.23705283010357e-07
"Klhl11",1056.57094005275,-0.368241994389417,0.0645718050444267,-5.7028294955679,1.17834836450537e-08,8.38735962187924e-07
"Ncor1",9586.13667064752,-0.198849473450671,0.035018499621791,-5.67841214210482,1.35950830691518e-08,9.6261729543041e-07
"Dicer1",2241.45889832765,-0.196748415062415,0.0346790593237577,-5.67340691757541,1.39985178519799e-08,9.86020601198836e-07
"Cacybp",2876.72566528759,0.22950265966287,0.0404837772865729,5.6690031179227,1.43630753246649e-08,1.00645715383818e-06
"Unc80",13128.2062019481,-0.236797022189139,0.0418876334719833,-5.6531487353546,1.5753487172814e-08,1.09819670373781e-06
"Mdh1",27053.4975091878,0.209008237451068,0.0370046439057643,5.64816237614196,1.62171967518707e-08,1.1247249685759e-06
"Zfp91",5105.27436473413,0.179913413574196,0.0318780330939817,5.64380534532295,1.66332123896372e-08,1.14766659565482e-06
"Hcfc1",4818.60262189196,-0.231504349307668,0.0410255333940127,-5.64293331872812,1.67177106879621e-08,1.14766659565482e-06
"Zbtb38",1316.41966429088,-0.292969801362175,0.051934947038946,-5.64109175161913,1.68975282902295e-08,1.15415238685386e-06
"Synj1",14068.0588237013,-0.255704938366304,0.0454196408571813,-5.62983179832596,1.8038544702482e-08,1.22589587214255e-06
"Slc36a4",977.080386316527,-0.280865811584424,0.0499104095748409,-5.62739945388074,1.82946735680424e-08,1.23708582667103e-06
"Epha4",11058.7742777032,-0.216165897736347,0.0385223304546775,-5.611443938748,2.00645291984382e-08,1.35001339741134e-06
"Rabgap1l",6028.03842960589,-0.162929787794085,0.029155747799639,-5.58825617897896,2.29361121086055e-08,1.53558406018208e-06
"Etv1",3868.38127307711,-0.29947012126228,0.0537156905525005,-5.57509580872995,2.47393672023919e-08,1.6481537046559e-06
"Kit",1996.42239788837,-0.241235420986463,0.0433125450007389,-5.56964318264714,2.55261546682633e-08,1.69223390065487e-06
"Gpr26",2300.56895094979,-0.40520465952605,0.0727885725727341,-5.56687190315689,2.59352904875332e-08,1.70931521149476e-06
"Sh3gl2",12277.7630716615,-0.167024064632646,0.03000688025551,-5.56619226025593,2.60365966849986e-08,1.70931521149476e-06
"Tcaf1",8397.71317778549,-0.171056689146501,0.0307382722492451,-5.56494157379654,2.6224025937106e-08,1.71330302789093e-06
"Cep83",1375.3067721673,0.217314670632091,0.0390837555238214,5.56023001678123,2.69419330878615e-08,1.7470994403435e-06
"Ralgapa1",7847.69022978477,-0.19884734348582,0.0357648351342133,-5.55985628731722,2.699968818632e-08,1.7470994403435e-06
"Rab11fip4",5967.89574936829,-0.187675246463824,0.0337712317629226,-5.55725203573629,2.74054904812133e-08,1.76491358699014e-06
"Cacna1c",3921.55743541143,-0.243249567767555,0.0439284683475174,-5.53740152839412,3.06992193687917e-08,1.96765991821582e-06
"Gan",203.494305540018,-0.54716310031111,0.098862125198616,-5.53460791189597,3.11925339106695e-08,1.98984824815044e-06
"Ndufb5",2857.91255366142,0.252159738289666,0.0455718976443737,5.53322883890919,3.14388860723417e-08,1.99614786498756e-06
"Dcc",1161.78996752632,-0.306675289084433,0.0554604649088645,-5.52961987585892,3.20925434473635e-08,2.02358177325242e-06
"Celsr2",10508.2234817114,-0.2958967530593,0.053515333246619,-5.52919574836048,3.21702219202359e-08,2.02358177325242e-06
